
> stacklens-ai-platform@1.0.0 dev:server
> cross-env NODE_ENV=development node --import tsx --no-warnings apps/api/src/index.ts

[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  write to custom object with { processEnv: myObject }
[dotenv@17.2.3] injecting env (0) from .env -- tip: 🗂️ backup and recover secrets: https://dotenvx.com/ops
[dotenv@17.2.3] injecting env (0) from .env -- tip: 🛠️  run anywhere with `dotenvx run -- yourcommand`
🚀 RAG: Vector database initialized
{"level":"WARN","timestamp":"2025-11-21T12:43:32.251Z","logger":"kafkajs","message":"KafkaJS v2.0.0 switched default partitioner. To retain the same partitioning behavior as in previous versions, create the producer with the option \"createPartitioner: Partitioners.LegacyPartitioner\". See the migration guide at https://kafka.js.org/docs/migration-guide-v2.0.0#producer-new-default-partitioner for details. Silence this warning by setting the environment variable \"KAFKAJS_NO_PARTITIONER_WARNING=1\""}
🔄 Starting server initialization...
Starting LogWatcher service for real-time monitoring...
📍 Watching directories: /Users/deepak/Downloads/Projects/StackLens-AI-Deploy/data, /Users/deepak/Downloads/Projects/StackLens-AI-Deploy/logs
[LogWatcherService] Started watching 2 file(s)
✅ LogWatcher service started successfully
✅ Routes registered successfully
🔄 Setting up Vite...
📚 RAG: Indexing 50 resolved error patterns...
✅ RAG: Knowledge base populated with 50 patterns
🔄 Indexing existing errors for RAG system...
⚠️ Vector DB not initialized, storing patterns locally
✅ Successfully indexed 807 errors for RAG
✅ Enhanced RAG Suggestor initialized
🎯 Enhanced RAG system ready with vector database
🚀 Starting Python vector database service...
⚠️ Enhanced vector service not found, using fallback similarity search
6:15:20 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:20 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:25 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:15:25 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:15:25 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:15:30 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:30 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:35 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:15:35 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:35 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:40 PM [express] GET /api/analytics/metrics 200 in 3ms :: {"success":true,"data":{"window":"1min…
6:15:40 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:45 PM [express] GET /api/analytics/alerts 200 in 3ms :: {"success":true,"data":{"alerts":[],"to…
6:15:45 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:45 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:15:50 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:55 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:15:55 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:15:55 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:00 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:16:00 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:05 PM [express] GET /api/analytics/alerts 200 in 8ms :: {"success":true,"data":{"alerts":[],"to…
6:16:05 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:16:05 PM [express] GET /api/analytics/health-status 200 in 3ms :: {"success":true,"data":{"status"…
6:16:10 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:16:10 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:15 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:16:15 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:16:15 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:16:20 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:16:20 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:25 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:16:25 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:16:25 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:30 PM [express] GET /api/analytics/metrics 200 in 10ms :: {"success":true,"data":{"window":"1mi…
6:16:30 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:35 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:16:35 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:16:35 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:16:40 PM [express] GET /api/analytics/metrics 200 in 3ms :: {"success":true,"data":{"window":"1min…
6:16:40 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:16:45 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:16:45 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:16:45 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:50 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:16:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:16:55 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:16:55 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:16:55 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:00 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:17:00 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:05 PM [express] GET /api/analytics/alerts 200 in 0ms :: {"success":true,"data":{"alerts":[],"to…
6:17:05 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:17:05 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:10 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:17:10 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:17:15 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:17:15 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:17:15 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:17:20 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:17:20 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:25 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:17:25 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:17:25 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:30 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:17:30 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:35 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:17:35 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:17:35 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:40 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:17:40 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:45 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:17:45 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:17:45 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:50 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:17:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:17:55 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:17:55 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:17:55 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:18:00 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:18:00 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:05 PM [express] GET /api/analytics/alerts 200 in 0ms :: {"success":true,"data":{"alerts":[],"to…
6:18:05 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:05 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:10 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:18:10 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:15 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:18:15 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:15 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:18:20 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:18:20 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:25 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:18:25 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:25 PM [express] GET /api/analytics/health-status 200 in 2ms :: {"success":true,"data":{"status"…
6:18:30 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:30 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:35 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:18:35 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:35 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:40 PM [express] GET /api/analytics/metrics 200 in 5ms :: {"success":true,"data":{"window":"1min…
6:18:40 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:18:45 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:18:45 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:45 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:50 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:18:55 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:18:55 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:18:55 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:00 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:19:00 PM [express] GET /api/analytics/health-status 200 in 2ms :: {"success":true,"data":{"status"…
6:19:05 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:19:05 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:05 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:10 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:10 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:15 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:19:15 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:15 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:19:20 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:20 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:25 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:19:25 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:25 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:30 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:30 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:35 PM [express] GET /api/analytics/alerts 200 in 3ms :: {"success":true,"data":{"alerts":[],"to…
6:19:35 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:19:35 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:40 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:40 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:45 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:19:45 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:19:45 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:50 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:19:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:19:55 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:19:55 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:19:55 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:20:00 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:00 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:05 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:20:05 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:06 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:11 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:11 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:15 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:20:16 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:16 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:20:21 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:21 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:25 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:20:26 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:26 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:20:31 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:31 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:35 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:20:36 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:20:36 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:41 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:41 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:45 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:20:46 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:46 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:20:51 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:51 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:20:55 PM [express] GET /api/analytics/alerts 200 in 0ms :: {"success":true,"data":{"alerts":[],"to…
6:20:56 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:20:56 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:21:01 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:01 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:05 PM [express] GET /api/analytics/alerts 200 in 0ms :: {"success":true,"data":{"alerts":[],"to…
6:21:06 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:06 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:21:11 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:11 PM [express] GET /api/analytics/health-status 200 in 2ms :: {"success":true,"data":{"status"…
6:21:15 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:21:16 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:16 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:21 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:21 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:25 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:21:26 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:26 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:21:31 PM [express] GET /api/analytics/metrics 200 in 3ms :: {"success":true,"data":{"window":"1min…
6:21:31 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:35 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:21:36 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:36 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:21:41 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:21:41 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:45 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:21:46 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:21:46 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:51 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:21:51 PM [express] GET /api/analytics/health-status 200 in 0ms :: {"success":true,"data":{"status"…
6:21:55 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:21:56 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:21:56 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:22:01 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:22:01 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:22:05 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:22:06 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:22:06 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:22:11 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:22:11 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:22:15 PM [express] GET /api/analytics/alerts 200 in 0ms :: {"success":true,"data":{"alerts":[],"to…
6:22:16 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:22:16 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
