2025-08-31/00:28:35.239/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:29:55.313/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:29:55.313/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:29:55.313/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:29:57.948/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:29:57.948/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:29:57.948/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@352f3acb[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2635 ms
2025-08-31/00:29:57.948/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:30:33.956/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:30:33.956/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:30:33.957/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:30:33.958/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:30:33.958/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 2 ms
2025-08-31/00:30:33.958/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 38645 ms.
2025-08-31/00:34:05.378/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:34:05.379/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:34:05.379/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:34:05.379/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:34:08.124/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:34:08.125/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:34:08.126/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@3a859635[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2747 ms
2025-08-31/00:34:08.126/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:34:42.804/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:34:42.804/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:34:42.805/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:34:42.805/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:34:42.805/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 1 ms
2025-08-31/00:34:42.805/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37426 ms.
2025-08-31/00:35:25.433/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:35:25.433/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:35:25.433/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:35:25.433/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:35:27.956/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:35:27.956/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:35:27.962/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@483c342a[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2529 ms
2025-08-31/00:35:27.965/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:36:02.601/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:36:02.601/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:36:02.601/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:36:02.601/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:36:02.601/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/00:36:02.601/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37168 ms.
2025-08-31/00:52:05.711/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:52:05.713/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:52:05.713/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:52:05.713/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:52:08.196/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:52:08.196/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:52:08.196/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@4e27be53[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2483 ms
2025-08-31/00:52:08.196/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:52:42.813/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:52:42.813/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:52:42.813/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:52:42.813/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:52:42.813/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/00:52:42.813/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37100 ms.
2025-08-31/00:53:25.783/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:53:25.783/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:53:25.783/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:53:25.784/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:53:28.152/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:53:28.152/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:53:28.154/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@6a9308f5[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2371 ms
2025-08-31/00:53:28.154/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:54:02.554/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:54:02.554/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:54:02.554/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:54:02.554/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:54:02.554/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/00:54:02.554/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 36771 ms.
2025-08-31/00:56:05.768/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:56:05.768/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:56:05.769/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:56:05.769/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:56:08.239/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:56:08.239/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:56:08.244/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@796bfbdf[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2475 ms
2025-08-31/00:56:08.247/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:56:42.553/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:56:42.553/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:56:42.553/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:56:42.553/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:56:42.553/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/00:56:42.553/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 36785 ms.
2025-08-31/00:57:25.844/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:57:25.845/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:57:25.845/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:57:25.845/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:57:28.293/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:57:28.293/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:57:28.293/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@1b9c47b6[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2448 ms
2025-08-31/00:57:28.309/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:58:02.702/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:58:02.702/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:58:02.704/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:58:02.704/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:58:02.704/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 2 ms
2025-08-31/00:58:02.704/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 36860 ms.
2025-08-31/01:14:35.980/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:14:35.980/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:14:35.980/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:14:35.980/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:14:38.688/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:14:38.688/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:14:38.688/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@1de05e92[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2708 ms
2025-08-31/01:14:38.688/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:15:13.880/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:15:13.880/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:15:13.881/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:15:13.881/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:15:13.881/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 1 ms
2025-08-31/01:15:13.881/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37901 ms.
2025-08-31/01:15:56.061/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:15:56.061/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:15:56.061/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:15:56.061/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:15:58.780/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:15:58.780/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:15:58.786/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@40344f7b[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2725 ms
2025-08-31/01:15:58.789/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:16:33.480/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:16:33.480/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:16:33.480/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:16:33.480/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:16:33.480/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/01:16:33.480/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37419 ms.
2025-08-31/01:18:06.028/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:18:06.028/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:18:06.028/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:18:06.028/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:18:13.389/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:18:13.389/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:18:13.395/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@57399ba[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 7367 ms
2025-08-31/01:18:13.398/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:18:47.715/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:18:47.715/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:18:47.715/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:18:47.715/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:18:47.715/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/01:18:47.715/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 41687 ms.
2025-08-31/01:19:26.079/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:19:26.080/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:19:26.080/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:19:26.080/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:19:28.448/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:19:28.448/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:19:28.453/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@f5b7cfa[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2373 ms
2025-08-31/01:19:28.453/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:20:03.104/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:20:03.104/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:20:03.104/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:20:03.104/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:20:03.104/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 0 ms
2025-08-31/01:20:03.104/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37024 ms.
2025-08-31/01:27:36.203/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:27:36.203/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:27:36.203/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:27:36.203/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:27:38.956/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:27:38.957/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:27:38.962/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@14f783df[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2759 ms
2025-08-31/01:27:38.966/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:28:13.380/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:28:13.380/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:28:13.382/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:28:13.382/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:28:13.382/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 2 ms
2025-08-31/01:28:13.382/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 37179 ms.
2025-08-31/01:28:56.244/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:28:56.244/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:28:56.244/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:28:56.244/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:28:58.578/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/01:28:58.578/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/01:28:58.578/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@470d5af4[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 2334 ms
2025-08-31/01:28:58.578/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/01:29:33.143/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/01:29:33.143/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/01:29:33.144/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/01:29:33.144/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/01:29:33.144/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 1 ms
2025-08-31/01:29:33.144/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 36900 ms.
2025-08-31/01:32:36.257/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/01:32:36.257/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/01:32:36.257/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/01:32:36.257/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/01:32:46.287/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
