2025-08-31/00:08:58.330/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:03:39.999/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:03:40.000/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:03:40.000/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:03:40.000/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 2 ms
2025-08-31/02:03:40.000/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 40863 ms.
2025-08-31/02:09:23.766/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:09:23.766/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:09:23.766/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:09:23.787/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:09:35.436/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:09:35.436/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:09:35.438/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@7f56b2c9[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 11651 ms
2025-08-31/02:09:35.460/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:10:13.310/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:10:13.311/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:10:13.315/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:10:13.315/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:10:13.316/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 6 ms
2025-08-31/02:10:13.316/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 49550 ms.
2025-08-31/02:10:44.204/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:10:44.204/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:10:44.204/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:10:44.204/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:10:50.739/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:10:50.739/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:10:50.744/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@56e6e03e[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6540 ms
2025-08-31/02:10:50.744/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:11:27.604/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:11:27.605/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:11:27.606/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:11:27.606/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:11:27.606/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 2 ms
2025-08-31/02:11:27.606/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 43402 ms.
2025-08-31/02:18:23.900/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:18:23.901/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:18:23.901/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:18:23.901/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:18:35.290/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:18:35.290/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:18:35.297/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@4ea34519[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 11396 ms
2025-08-31/02:18:35.299/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:19:09.516/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:19:09.516/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:19:09.516/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:19:09.516/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:19:09.516/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/02:19:09.516/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 45615 ms.
2025-08-31/02:19:44.367/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:19:44.367/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:19:44.367/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:19:44.367/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:19:50.337/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:19:50.337/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:19:50.337/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@13babbff[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 5970 ms
2025-08-31/02:19:50.353/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:20:25.355/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:20:25.355/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:20:25.355/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:20:25.355/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:20:25.355/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/02:20:25.355/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 40988 ms.
2025-08-31/02:55:24.414/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:55:24.414/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:55:24.414/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:55:24.414/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:55:30.840/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:55:30.840/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:55:30.847/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@6fc0b71c[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6433 ms
2025-08-31/02:55:30.850/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:56:05.602/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:56:05.602/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:56:05.602/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:56:05.602/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:56:05.602/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/02:56:05.602/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 41188 ms.
2025-08-31/02:56:44.805/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:56:44.806/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:56:44.806/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:56:44.806/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:56:51.359/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:56:51.359/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:56:51.359/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@42df2de9[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6553 ms
2025-08-31/02:56:51.359/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:57:28.344/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:57:28.344/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:57:28.344/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:57:28.344/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:57:28.344/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/02:57:28.344/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 43538 ms.
2025-08-31/02:59:54.453/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:59:54.453/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:59:54.453/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:59:54.453/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:00:02.297/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/03:00:02.297/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/03:00:02.303/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@14f268c1[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 7850 ms
2025-08-31/03:00:02.308/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/03:00:38.242/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/03:00:38.242/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/03:00:38.242/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/03:00:38.242/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/03:00:38.242/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/03:00:38.242/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 43789 ms.
2025-08-31/03:01:14.977/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/03:01:14.977/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/03:01:14.977/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/03:01:14.977/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:01:21.314/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/03:01:21.314/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/03:01:21.333/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@7f67d54f[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6356 ms
2025-08-31/03:01:21.336/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/03:01:58.063/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/03:01:58.063/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/03:01:58.065/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/03:01:58.066/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/03:01:58.066/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 3 ms
2025-08-31/03:01:58.066/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 43089 ms.
2025-08-31/03:03:24.556/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/03:03:24.557/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/03:03:24.557/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/03:03:24.557/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:03:31.289/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/03:03:31.290/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/03:03:31.295/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@3499c1b2[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6738 ms
2025-08-31/03:03:31.297/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/03:04:06.202/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/03:04:06.202/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/03:04:06.204/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/03:04:06.204/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/03:04:06.204/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 2 ms
2025-08-31/03:04:06.204/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 41647 ms.
2025-08-31/03:04:45.013/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/03:04:45.013/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/03:04:45.013/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:04:45.013/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/03:04:51.555/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/03:04:51.555/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/03:04:51.574/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@367b77d7[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6561 ms
2025-08-31/03:04:51.577/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/03:05:27.156/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/03:05:27.156/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/03:05:27.156/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/03:05:27.156/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/03:05:27.156/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 0 ms
2025-08-31/03:05:27.156/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 42143 ms.
2025-08-31/03:07:24.595/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/03:07:24.595/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/03:07:24.595/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/03:07:24.595/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:07:35.606/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/03:07:35.606/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/03:07:35.622/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@3cf6d189[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 11027 ms
2025-08-31/03:07:35.626/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/03:08:10.682/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/03:08:10.682/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/03:08:10.684/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/03:08:10.684/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/03:08:10.684/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 2 ms
2025-08-31/03:08:10.684/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 46089 ms.
2025-08-31/03:08:45.069/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/03:08:45.070/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/03:08:45.070/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/03:08:45.070/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/03:08:51.144/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
